document_id,source_url,url_basename,entity_class_raw,title
md_13128,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/181MD.PDF,181MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)"
md_13129,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/180MD.PDF,180MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Governance) Directions, 2025"
md_13130,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/179MD.PDF,179MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)"
md_13131,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD.PDF,381MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Digital Banking Channels Authorisation) Directions, 2025"
md_13132,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/178MD.PDF,178MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Branch Authorisation) Directions, 2025"
md_13133,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/177MD.PDF,177MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks - Voluntary Amalgamation) Directions, 2025"
md_13134,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/176MD.PDF,176MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025"
md_13135,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/175MD.PDF,175MD.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Licensing) Guidelines, 2025"
md_13136,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/174MD.PDF,174MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Miscellaneous) Directions, 2025"
md_13137,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/173MD.PDF,173MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Forthcoming Instructions) Directions, 2025"
md_13138,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/172MD.PDF,172MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Climate Finance and Management of Climate Change Risks) Directions, 2025"
md_13139,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/171MD.PDF,171MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Managing Risks in Outsourcing) Directions, 2025"
md_13140,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/170MD.PDF,170MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)"
md_13141,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/169MD.PDF,169MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)"
md_13143,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/167MD.PDF,167MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on July 01, 2026)"
md_13144,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/166MD.PDF,166MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025"
md_13145,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/165MD.PDF,165MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Resolution of Stressed Assets) Directions, 2025 (updated as on July 01, 2026)"
md_13146,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/164MD.PDF,164MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (updated as on July 01, 2026)"
md_13147,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/163MD.PDF,163MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Asset Liability Management) Directions, 2025"
md_13148,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/162MD.PDF,162MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)"
md_13149,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/161MD.PDF,161MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Interest Rates on Advances) Directions, 2025"
md_13150,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/160MD.PDF,160MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Securitisation Transactions) Directions, 2025"
md_13151,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/159MD.PDF,159MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Transfer and Distribution of Credit Risk) Directions, 2025"
md_13152,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/158MD.PDF,158MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Concentration Risk Management) Directions, 2025 (Updated as on July 01, 2026)"
md_13153,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/157MD.PDF,157MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)"
md_13154,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/156MD.PDF,156MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)"
md_13155,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/155MD.PDF,155MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025"
md_13156,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/154MD.PDF,154MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Credit Facilities) Directions, 2025 (Updated as on July 15, 2026)"
md_13157,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/153MD.PDF,153MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)"
md_13158,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/152MD.PDF,152MD.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Resource Raising Norms) Directions, 2025"
