entity_class,subject_family,subject_family_raw,document_id,source_url,title,category_heading
Small Finance Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_13107,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/202MD.PDF,"Reserve Bank of India (Small Finance Banks – Managing Risks in Outsourcing) Directions, 2025",Small Finance Banks
Small Finance Banks,Responsible Business Conduct,Responsible Business Conduct,md_13108,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/201MD.PDF,"Reserve Bank of India (Small Finance Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Small Finance Banks
Small Finance Banks,Know Your Customer,Know Your Customer,md_13109,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/200MD.PDF,"Reserve Bank of India (Small Finance Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Small Finance Banks
Small Finance Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13111,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/198MD.PDF,"Reserve Bank of India (Small Finance Banks - Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_13112,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/197MD.PDF,"Reserve Bank of India (Small Finance Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Small Finance Banks
Small Finance Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_13113,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/196MD.PDF,"Reserve Bank of India (Small Finance Banks – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_13114,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/195MD.PDF,"Reserve Bank of India (Small Finance Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Asset Liability Management,Asset Liability Management,md_13115,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/194MD.PDF,"Reserve Bank of India (Small Finance Banks – Asset Liability Management) Directions, 2025",Small Finance Banks
Small Finance Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13116,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/193MD.PDF,"Reserve Bank of India (Small Finance Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Small Finance Banks
Small Finance Banks,Interest Rates on Advances,Interest Rates on Advances,md_13117,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/192MD.PDF,"Reserve Bank of India (Small Finance Banks – Interest Rates on Advances) Directions, 2025",Small Finance Banks
Small Finance Banks,Securitisation Transactions,Securitisation Transactions,md_13118,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/191MD.PDF,"Reserve Bank of India (Small Finance Banks – Securitisation Transactions) Directions, 2025",Small Finance Banks
Small Finance Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_13119,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/190MD.PDF,"Reserve Bank of India (Small Finance Banks – Transfer and Distribution of Credit Risk) Directions, 2025",Small Finance Banks
Small Finance Banks,Concentration Risk Management,Concentration Risk Management,md_13120,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/189MD.PDF,"Reserve Bank of India (Small Finance Banks – Concentration Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Credit Risk Management,Credit Risk Management,md_13121,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/188MD.PDF,"Reserve Bank of India (Small Finance Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Credit Information Reporting,Credit Information Reporting,md_13122,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/187MD.PDF,"Reserve Bank of India (Small Finance Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Credit Cards and Debit Cards: Issuance and Conduct,Credit Cards and Debit Cards: Issuance and Conduct,md_13123,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/186MD.PDF,"Reserve Bank of India (Small Finance Banks – Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025",Small Finance Banks
Small Finance Banks,Credit Facilities,Credit Facilities,md_13124,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/185MD.PDF,"Reserve Bank of India (Small Finance Banks – Credit Facilities) Directions, 2025 (Updated as on July 15, 2026)",Small Finance Banks
Small Finance Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13125,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/184MD.PDF,"Reserve Bank of India (Small Finance Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Small Finance Banks
Small Finance Banks,Resource Raising Norms,Resource Raising Norms,md_13126,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/183MD.PDF,"Reserve Bank of India (Small Finance Banks - Resource Raising Norms) Directions, 2025",Small Finance Banks
Small Finance Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13127,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/182MD.PDF,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on July 01, 2026)",Small Finance Banks
Small Finance Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13128,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/181MD.PDF,"Reserve Bank of India (Small Finance Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",Small Finance Banks
Small Finance Banks,Governance,Governance,md_13129,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/180MD.PDF,"Reserve Bank of India (Small Finance Banks – Governance) Directions, 2025",Small Finance Banks
Small Finance Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13130,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/179MD.PDF,"Reserve Bank of India (Small Finance Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",Small Finance Banks
Small Finance Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13131,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD.PDF,"Reserve Bank of India (Small Finance Banks – Digital Banking Channels Authorisation) Directions, 2025",Small Finance Banks
Small Finance Banks,Branch Authorisation,Branch Authorisation,md_13132,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/178MD.PDF,"Reserve Bank of India (Small Finance Banks – Branch Authorisation) Directions, 2025",Small Finance Banks
Small Finance Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13133,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/177MD.PDF,"Reserve Bank of India (Small Finance Banks - Voluntary Amalgamation) Directions, 2025",Small Finance Banks
Small Finance Banks,Acquisition and Holding of Shares or Voting Rights,Acquisition and Holding of Shares or Voting Rights,md_13134,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/176MD.PDF,"Reserve Bank of India (Small Finance Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025",Small Finance Banks
Small Finance Banks,Licensing,Licensing,md_13135,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/175MD.PDF,"Reserve Bank of India (Small Finance Banks – Licensing) Guidelines, 2025",Small Finance Banks
Payments Banks,Prudential Norms on Declaration of Dividend,Prudential Norms on Declaration of Dividend,md_13321,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF,"Reserve Bank of India (Payments Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",Payments Banks
Payments Banks,Miscellaneous,Miscellaneous,md_13087,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/221MD.PDF,"Reserve Bank of India (Payments Banks – Miscellaneous) Directions, 2025 (Updated as on April 01, 2026)",Payments Banks
Payments Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_13088,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/220MD.PDF,"Reserve Bank of India (Payments Banks – Managing Risks in Outsourcing) Directions, 2025",Payments Banks
Payments Banks,Responsible Business Conduct,Responsible Business Conduct,md_13089,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/219MD.PDF,"Reserve Bank of India (Payments Banks – Responsible Business Conduct) Directions, 2025 (Updated as on April 1, 2026)",Payments Banks
Payments Banks,Know Your Customer,Know Your Customer,md_13090,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/218MD.PDF,"Reserve Bank of India (Payments Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Payments Banks
Payments Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13092,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/216MD.PDF,"Reserve Bank of India (Payments Banks – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on April 1, 2026)",Payments Banks
Payments Banks,Asset Liability Management,Asset Liability Management,md_13093,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/215MD.PDF,"Reserve Bank of India (Payments Banks – Asset Liability Management) Directions, 2025",Payments Banks
Payments Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13094,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/214MD.PDF,"Reserve Bank of India (Payments Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Payments Banks
Payments Banks,Debit Cards: Issuance and Conduct,Debit Cards: Issuance and Conduct,md_13095,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/213MD.PDF,"Reserve Bank of India (Payments Banks – Debit Cards: Issuance and Conduct) Directions, 2025",Payments Banks
Payments Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13096,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/212MD.PDF,"Reserve Bank of India (Payments Banks – Interest Rate on Deposits) Directions, 2025",Payments Banks
Payments Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13097,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/211MD.PDF,"Reserve Bank of India (Payments Banks – Prudential Norms on Capital Adequacy) Directions, 2025 (updated as on May 08, 2026)",Payments Banks
Payments Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13098,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/210MD.PDF,"Reserve Bank of India (Payments Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on January 22, 2026)",Payments Banks
Payments Banks,Governance,Governance,md_13099,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/209MD.PDF,"Reserve Bank of India (Payments Banks - Governance) Directions, 2025",Payments Banks
Payments Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13100,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/208MD.PDF,"Reserve Bank of India (Payments Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on December 05, 2025)",Payments Banks
Payments Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13101,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/382MD.PDF,"Reserve Bank of India (Payments Banks – Digital Banking Channels Authorisation) Directions, 2025",Payments Banks
Payments Banks,Branch Authorisation,Branch Authorisation,md_13102,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/207MD.PDF,"Reserve Bank of India (Payments Banks – Branch Authorisation) Directions, 2025",Payments Banks
Payments Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13103,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/206MD.PDF,"Reserve Bank of India (Payments Banks – Voluntary Amalgamation) Directions, 2025",Payments Banks
Payments Banks,Acquisition and Holding of Shares or Voting Rights,Acquisition and Holding of Shares or Voting Rights,md_13104,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/205MD.PDF,"Reserve Bank of India (Payments Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025",Payments Banks
Local Area Banks,Prudential Norms on Declaration of Dividend,Prudential Norms on Declaration of Dividend,md_13324,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/389MD100320260CC22242233B4A46883801B79C02FE8B.PDF,"Reserve Bank of India (Local Area Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",Local Area Banks
Local Area Banks,Miscellaneous,Miscellaneous,md_13061,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/246MD.PDF,"Reserve Bank of India (Local Area Banks – Miscellaneous) Directions, 2025 (Updated as on April 27, 2026)",Local Area Banks
Local Area Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_13062,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/245MD.PDF,"Reserve Bank of India (Local Area Banks – Managing Risks in Outsourcing) Directions, 2025",Local Area Banks
Local Area Banks,Responsible Business Conduct,Responsible Business Conduct,md_13063,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/244MD.PDF,"Reserve Bank of India (Local Area Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Local Area Banks
Local Area Banks,Know Your Customer,Know Your Customer,md_13064,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/243MD.PDF,"Reserve Bank of India (Local Area Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Local Area Banks
Local Area Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13066,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/241MD.PDF,"Reserve Bank of India (Local Area Banks – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on May 18, 2026)",Local Area Banks
Local Area Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_13067,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/240MD.PDF,"Reserve Bank of India (Local Area Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Local Area Banks
Local Area Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_13068,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/239MD.PDF,"Reserve Bank of India (Local Area Banks – Resolution of Stressed Assets) Directions, 2025 (Updated as on July 1, 2026)",Local Area Banks
Local Area Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_13069,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/238MD.PDF,"Reserve Bank of India (Local Area Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (Updated as on July 1, 2026)",Local Area Banks
Local Area Banks,Asset Liability Management,Asset Liability Management,md_13070,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/237MD.PDF,"Reserve Bank of India (Local Area Banks – Asset Liability Management) Directions, 2025",Local Area Banks
Local Area Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13071,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/236MD.PDF,"Reserve Bank of India (Local Area Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Local Area Banks
Local Area Banks,Interest Rates on Advances,Interest Rates on Advances,md_13072,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/235MD.PDF,"Reserve Bank of India (Local Area Banks – Interest Rates on Advances) Directions, 2025",Local Area Banks
Local Area Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_13073,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/234MD.PDF,"Reserve Bank of India (Local Area Banks – Transfer and Distribution of Credit Risk) Directions, 2025",Local Area Banks
Local Area Banks,Concentration Risk Management,Concentration Risk Management,md_13074,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/233MD.PDF,"Reserve Bank of India (Local Area Banks – Concentration Risk Management) Directions, 2025",Local Area Banks
Local Area Banks,Credit Risk Management,Credit Risk Management,md_13075,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/232MD.PDF,"Reserve Bank of India (Local Area Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Local Area Banks
Local Area Banks,Credit Information Reporting,Credit Information Reporting,md_13076,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/231MD.PDF,"Reserve Bank of India (Local Area Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Local Area Banks
Local Area Banks,Debit Cards: Issuance and Conduct,Debit Cards: Issuance and Conduct,md_13077,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/230MD.PDF,"Reserve Bank of India (Local Area Banks – Debit Cards: Issuance and Conduct) Directions, 2025",Local Area Banks
Local Area Banks,Credit Facilities,Credit Facilities,md_13078,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/229MD.PDF,"Reserve Bank of India (Local Area Banks – Credit Facilities) Directions, 2025 (Updated as on April 01, 2026)",Local Area Banks
Local Area Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13079,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/228MD.PDF,"Reserve Bank of India (Local Area Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Local Area Banks
Local Area Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13080,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/227MD.PDF,"Reserve Bank of India (Local Area Banks – Prudential Norms on Capital Adequacy) Directions, 2025",Local Area Banks
Local Area Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13081,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/226MD.PDF,"Reserve Bank of India (Local Area Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on January 22, 2026)",Local Area Banks
Local Area Banks,Governance,Governance,md_13082,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/225MD.PDF,"Reserve Bank of India (Local Area Banks – Governance) Directions, 2025",Local Area Banks
Local Area Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13083,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/383MD.PDF,"Reserve Bank of India (Local Area Banks – Digital Banking Channels Authorisation) Directions, 2025",Local Area Banks
Local Area Banks,Branch Authorisation,Branch Authorisation,md_13084,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/224MD.PDF,"Reserve Bank of India (Local Area Banks – Branch Authorisation) Directions, 2025",Local Area Banks
Local Area Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13085,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/223MD.PDF,"Reserve Bank of India (Local Area Banks – Voluntary Amalgamation) Directions, 2025",Local Area Banks
Local Area Banks,Acquisition and Holding of Shares or Voting Rights,Acquisition and Holding of Shares or Voting Rights,md_13086,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/222MD.PDF,"Reserve Bank of India (Local Area Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025",Local Area Banks
Regional Rural Banks,Prudential Norms on Declaration of Dividend,Prudential Norms on Declaration of Dividend,md_13327,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/390MD10032026A83919BF58A2481BB8240A89F25F285E.PDF,"Reserve Bank of India (Regional Rural Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",Regional Rural Banks
Regional Rural Banks,Miscellaneous,Miscellaneous,md_13038,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/268MD4759833478EF4A88898144BF91E4EE1B.PDF,"Reserve Bank of India (Regional Rural Banks – Miscellaneous) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Responsible Business Conduct,Responsible Business Conduct,md_13039,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/267MD96B7D24557AC47BFB051A5301120FFBB.PDF,"Reserve Bank of India (Regional Rural Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Regional Rural Banks
Regional Rural Banks,Know Your Customer,Know Your Customer,md_13040,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/266MDB4BD80DE4B394A50808E81ACC3A2358E.PDF,"Reserve Bank of India (Regional Rural Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Regional Rural Banks
Regional Rural Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13041,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/265MD4C8ABA19A5194D39A7AD1071676C3060.PDF,"Reserve Bank of India (Regional Rural Banks – Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on April 1, 2026)",Regional Rural Banks
Regional Rural Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_13042,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/264MDC9E9F8DD7A7D4A0D8C7661B8589E8605.PDF,"Reserve Bank of India (Regional Rural Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_13043,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/263MD.PDF,"Reserve Bank of India (Regional Rural Banks – Resolution of Stressed Assets) Directions, 2025 (updated as on July 01, 2026)",Regional Rural Banks
Regional Rural Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_13044,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/262MD.PDF,"Reserve Bank of India (Regional Rural Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (updated as on July 01, 2026)",Regional Rural Banks
Regional Rural Banks,Asset Liability Management,Asset Liability Management,md_13045,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/261MD.PDF,"Reserve Bank of India (Regional Rural Banks – Asset Liability Management) Directions, 2025",Regional Rural Banks
Regional Rural Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13046,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/260MD.PDF,"Reserve Bank of India (Regional Rural Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Regional Rural Banks
Regional Rural Banks,Interest Rates on Advances,Interest Rates on Advances,md_13047,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/259MD.PDF,"Reserve Bank of India (Regional Rural Banks – Interest Rates on Advances) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_13048,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/258MD.PDF,"Reserve Bank of India (Regional Rural Banks – Transfer and Distribution of Credit Risk) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Concentration Risk Management,Concentration Risk Management,md_13049,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/257MD.PDF,"Reserve Bank of India (Regional Rural Banks – Concentration Risk Management) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Credit Risk Management,Credit Risk Management,md_13050,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/256MD.PDF,"Reserve Bank of India (Regional Rural Banks – Credit Risk Management) Directions, 2025 (updated as on July 01, 2026)",Regional Rural Banks
Regional Rural Banks,Credit Information Reporting,Credit Information Reporting,md_13051,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/255MD.PDF,"Reserve Bank of India (Regional Rural Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Regional Rural Banks
Regional Rural Banks,Credit Cards and Debit Cards: Issuance and Conduct,Credit Cards and Debit Cards: Issuance and Conduct,md_13052,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/254MD.PDF,"Reserve Bank of India (Regional Rural Banks – Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Credit Facilities,Credit Facilities,md_13053,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/253MD.PDF,"Reserve Bank of India (Regional Rural Banks – Credit Facilities) Directions, 2025 (Updated as on April 01, 2026)",Regional Rural Banks
Regional Rural Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13054,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/252MD.PDF,"Reserve Bank of India (Regional Rural Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Regional Rural Banks
Regional Rural Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13055,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/251MD.PDF,"Reserve Bank of India (Regional Rural Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on June 16, 2026)",Regional Rural Banks
Regional Rural Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13056,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/250MD.PDF,"Reserve Bank of India (Regional Rural Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",Regional Rural Banks
Regional Rural Banks,Governance,Governance,md_13057,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/249MD.PDF,"Reserve Bank of India (Regional Rural Banks – Governance) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13058,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/248MD.PDF,"Reserve Bank of India (Regional Rural Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on April 27, 2026)",Regional Rural Banks
Regional Rural Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13059,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/384MD.PDF,"Reserve Bank of India (Regional Rural Banks – Digital Banking Channels Authorisation) Directions, 2025",Regional Rural Banks
Regional Rural Banks,Branch Authorisation,Branch Authorisation,md_13060,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/247MD.PDF,"Reserve Bank of India (Regional Rural Banks – Branch Authorisation) Directions, 2025",Regional Rural Banks
Urban Co-operative Banks,"Licensing, Scheduling and Regulatory Classification","Licensing, Scheduling and Regulatory Classification",md_13203,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/269MDB68791ED3DA4407596FC88446FC24DF3.PDF,"Reserve Bank of India (Urban Co-operative Banks – Licensing, Scheduling and Regulatory Classification) Guidelines, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Branch Authorisation,Branch Authorisation,md_13204,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/271MD5F6E28F2C5AF4B92AE44048FD3C21405.PDF,"Reserve Bank of India (Urban Co-operative Banks - Branch Authorisation) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Miscellaneous,Miscellaneous,md_13011,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/294MDA514F8EED7554D9F8B8DC461B55E4956.PDF,"Reserve Bank of India (Urban Co-operative Banks – Miscellaneous) Directions, 2025",Urban Co-operative Banks
Urban Co-operative Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_13012,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/293MD6D08F6482DFE4A22AF441AD601136473.PDF,"Reserve Bank of India (Urban Co-operative Banks – Managing Risks in Outsourcing) Directions, 2025",Urban Co-operative Banks
