entity_class,subject_family,subject_family_raw,document_id,source_url,title,category_heading
Foreign Exchange Management,"Remittance of Assets ( Updated as on June 29, 2026 )","Remittance of Assets ( Updated as on June 29, 2026 )",md_10197,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/08MDROA112016989330DF1FF9494784DAC32B488E6AE4.PDF,"Master Direction - Remittance of Assets ( Updated as on June 29, 2026 )",Foreign Exchange Management
Foreign Exchange Management,"Deposits and Accounts ( Updated as on June 29, 2026 )","Deposits and Accounts ( Updated as on June 29, 2026 )",md_10198,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/09MDD593B2F2D48648C8AB3D37625C9F245D.PDF,"Master Direction - Deposits and Accounts ( Updated as on June 29, 2026 )",Foreign Exchange Management
Foreign Exchange Management,"Import of Goods and Services ( Updated as on January 12, 2026 )","Import of Goods and Services ( Updated as on January 12, 2026 )",md_10201,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,"Master Direction – Import of Goods and Services ( Updated as on January 12, 2026 )",Foreign Exchange Management
Foreign Exchange Management,"Reporting under Foreign Exchange Management Act, 1999 ( Updated as on June 24, 2026 )","Reporting under Foreign Exchange Management Act, 1999 ( Updated as on June 24, 2026 )",md_10202,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,"Master Direction – Reporting under Foreign Exchange Management Act, 1999 ( Updated as on June 24, 2026 )",Foreign Exchange Management
Foreign Exchange Management,"Miscellaneous ( Updated as on May 13, 2026 )","Miscellaneous ( Updated as on May 13, 2026 )",md_10203,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/14MDM1120153F2FD5CC455640E78D139304BC7C080F.PDF,"Master Direction - Miscellaneous ( Updated as on May 13, 2026 )",Foreign Exchange Management
Foreign Exchange Management,Opening and Maintenance of Rupee/Foreign Currency Vostro Accounts of Non-resident Exchange Houses,Opening and Maintenance of Rupee/Foreign Currency Vostro Accounts of Non-resident Exchange Houses,md_10205,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/16MCDF82CC17C279247FCB66E2A39BDAD38F6.PDF,"Master Direction – Opening and Maintenance of Rupee/Foreign Currency Vostro Accounts of Non-resident Exchange Houses (Updated as on December 22, 2022)",Foreign Exchange Management
Foreign Exchange Management,"Export of Goods and Services ( Updated as on July 17, 2026 )","Export of Goods and Services ( Updated as on July 17, 2026 )",md_10395,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/11MDEGS1205163428383952204B77831A3A086E82FDDF.PDF,"Master Direction – Export of Goods and Services ( Updated as on July 17, 2026 )",Foreign Exchange Management
Foreign Exchange Management,"Money Changing Activities ( Updated as on June 24, 2026 )","Money Changing Activities ( Updated as on June 24, 2026 )",md_11518,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD03_29031928C70FB929814CFCA72C7D3ED5A0EDE4.PDF,"Master Direction - Money Changing Activities ( Updated as on June 24, 2026 )",Foreign Exchange Management
Issuer of Currency,Facility for Exchange of Notes and Coins,Facility for Exchange of Notes and Coins,md_13362,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/395MDDCEE303B29F7409B867FAAEC10242C4A.PDF,Master Direction – Facility for Exchange of Notes and Coins,Issuer of Currency
Issuer of Currency,"on Counterfeit Notes – Detection, Reporting and Monitoring","on Counterfeit Notes – Detection, Reporting and Monitoring",md_13361,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39472AB49ECE87F40868FBB8F0714E1627F.PDF,"Master Direction on Counterfeit Notes – Detection, Reporting and Monitoring",Issuer of Currency
Issuer of Currency,"on Incentives for Currency Distribution and Exchange and Penalties / Penal Provisions for Bank Branches and Currency Chests for Deficiency in Rendering Customer Service and Reporting of Transactions / Balances ( Updated as on May 27, 2026 )","on Incentives for Currency Distribution and Exchange and Penalties / Penal Provisions for Bank Branches and Currency Chests for Deficiency in Rendering Customer Service and Reporting of Transactions / Balances ( Updated as on May 27, 2026 )",md_13360,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/393MD748717FE591F47CA86031C181677D39B.PDF,"Master Direction on Incentives for Currency Distribution and Exchange and Penalties / Penal Provisions for Bank Branches and Currency Chests for Deficiency in Rendering Customer Service and Reporting of Transactions / Balances ( Updated as on May 27, 2026 )",Issuer of Currency
Payment and Settlement System,(Trade Receivables Discounting System),(Trade Receivables Discounting System),md_13526,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/406MD184DBA53FAE148368AD6D3ACF0DB824E.PDF,"Reserve Bank of India (Trade Receivables Discounting System) Directions, 2026",Payment and Settlement System
Payment and Settlement System,Authorisation to operate a Payment System,Authorisation to operate a Payment System,md_13502,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/401MDDAB7489361B4431DB9A075997E990529.PDF,Master Directions on Authorisation to operate a Payment System,Payment and Settlement System
Payment and Settlement System,"Digital Payments – E-mandate Framework, 2026","Digital Payments – E-mandate Framework, 2026",md_13374,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/396MDD002E435ECA145509929FC3ACBCFD0E9.PDF,"Digital Payments – E-mandate Framework, 2026",Payment and Settlement System
Payment and Settlement System,(Authentication mechanisms for digital payment transactions),(Authentication mechanisms for  digital payment transactions),md_12898,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT79258FF36ECA8F4886B3B01F55D166C2B2.PDF,"Reserve Bank of India (Authentication mechanisms for  digital payment transactions) Directions, 2025",Payment and Settlement System
Payment and Settlement System,on Regulation of Payment Aggregator (PA),on Regulation of Payment Aggregator (PA),md_12896,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,Master Direction on Regulation of Payment Aggregator (PA),Payment and Settlement System
Payment and Settlement System,Cyber Resilience and Digital Payment Security Controls for non-bank Payment System Operators,Cyber Resilience and Digital Payment Security Controls for non-bank Payment System Operators,md_12715,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD123C0C6F7FF70E34F3DA5623B9E72AB3181.PDF,Master Directions on Cyber Resilience and Digital Payment Security Controls for non-bank Payment System Operators,Payment and Settlement System
Payment and Settlement System,Reserve Bank of India (Bharat Bill Payment System),Reserve Bank of India (Bharat Bill Payment System),md_12616,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/111MDONBBPS87BA4103916D4B21AE117F1443020ADB.PDF,"Master Direction – Reserve Bank of India (Bharat Bill Payment System) Directions, 2024",Payment and Settlement System
Payment and Settlement System,"Prepaid Payment Instruments (PPIs) ( Updated as on December 27, 2024 )","Prepaid Payment Instruments (PPIs) ( Updated as on December 27, 2024 )",md_12156,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/82MDPPIS2708202181CF0A6FCD1B47B88CAE8E92A228B160.PDF,"Master Directions on Prepaid Payment Instruments (PPIs) ( Updated as on December 27, 2024 )",Payment and Settlement System
Payment and Settlement System,Access Criteria for Payment Systems,Access Criteria for Payment Systems,md_10833,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD51170116C65788DE8A564165B74D5FECE0626A73.PDF,"Master Directions on Access Criteria for Payment Systems (Updated as on July 28, 2021)",Payment and Settlement System
